Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
coal (BTU),5.63E+13,5.52E+13,5.41E+13,5.30E+13,5.19E+13,5.08E+13,4.98E+13,4.88E+13,4.78E+13,4.69E+13,4.60E+13,4.50E+13,4.42E+13,4.33E+13,4.25E+13,4.17E+13,4.09E+13,4.01E+13,3.94E+13,3.87E+13,3.80E+13,3.74E+13,3.67E+13,3.61E+13,3.55E+13,3.50E+13,3.44E+13,3.39E+13,3.34E+13,3.30E+13,3.26E+13,3.21E+13,3.17523E+13,3.13895E+13,3.10514E+13,3.07379E+13,3.0449E+13,3.01846E+13,2.99449E+13,2.97297E+13,2.95391E+13,2.93731E+13
natural gas (BTU),5.89E+11,5.77E+11,5.65E+11,5.54E+11,5.42E+11,5.32E+11,5.21E+11,5.10E+11,5.00E+11,4.90E+11,4.80E+11,4.71E+11,4.62E+11,4.53E+11,4.44E+11,4.36E+11,4.28E+11,4.20E+11,4.12E+11,4.05E+11,3.98E+11,3.91E+11,3.84E+11,3.78E+11,3.72E+11,3.66E+11,3.60E+11,3.55E+11,3.50E+11,3.45E+11,3.40E+11,3.36E+11,3.31949E+11,3.28157E+11,3.24623E+11,3.21345E+11,3.18324E+11,3.15561E+11,3.13054E+11,3.10805E+11,3.08813E+11,3.07077E+11
petroleum diesel (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
biomass (BTU),7.44E+13,7.29E+13,7.14E+13,6.99E+13,6.85E+13,6.71E+13,6.58E+13,6.44E+13,6.32E+13,6.19E+13,6.07E+13,5.95E+13,5.83E+13,5.72E+13,5.61E+13,5.50E+13,5.40E+13,5.30E+13,5.20E+13,5.11E+13,5.02E+13,4.93E+13,4.85E+13,4.77E+13,4.69E+13,4.62E+13,4.55E+13,4.48E+13,4.42E+13,4.36E+13,4.30E+13,4.24E+13,4.19205E+13,4.14416E+13,4.09952E+13,4.05813E+13,4.01998E+13,3.98508E+13,3.95343E+13,3.92502E+13,3.89986E+13,3.87795E+13
kerosene (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
LPG propane or butane (BTU),9.50E+12,9.30E+12,9.11E+12,8.93E+12,8.75E+12,8.57E+12,8.40E+12,8.23E+12,8.06E+12,7.90E+12,7.75E+12,7.59E+12,7.45E+12,7.30E+12,7.16E+12,7.03E+12,6.89E+12,6.77E+12,6.64E+12,6.52E+12,6.41E+12,6.30E+12,6.19E+12,6.09E+12,5.99E+12,5.90E+12,5.81E+12,5.72E+12,5.64E+12,5.56E+12,5.49E+12,5.42E+12,5.35197E+12,5.29084E+12,5.23385E+12,5.181E+12,5.1323E+12,5.08774E+12,5.04733E+12,5.01106E+12,4.97894E+12,4.95096E+12
hydrogen (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0
